tupleid,attribute,correct_value,
67,address,2032-2034 W DEVON AVE,
71,city,Chicago,
109,facilitytype,Grocery Store,
109,facilitytype,Restaurant,
143,facilitytype,Restaurant,
153,facilitytype,School,
176,address,2032-2034 W DEVON AVE,
303,facilitytype,Grocery Store,
369,city,Chicago,
383,address,5805 W DIVERSEY AVE,
400,dbaname,NEAR NORTH MONTESSORI SCHOOL,
465,dbaname,CHIPPER PRE-SCHOOL/KINDERGARTEN,
495,dbaname,BELLA'S PIZZA,
964,address,2232-2234 W ROSCOE ST,
1091,facilitytype,Restaurant,
1095,facilitytype,Restaurant,
1097,facilitytype,Restaurant,
1435,dbaname,TASTY CHINA,
1657,facilitytype,Daycare Above and Under 2 Years,
1872,address,3463-3465 N BROADWAY,
1915,dbaname,LA COCINA RESTAURANT & BAR,
2276,facilitytype,Restaurant,
2509,facilitytype,Hospital,
2536,facilitytype,Restaurant,
2572,dbaname,THE UNITED CENTER,
2782,facilitytype,Restaurant,
2782,facilitytype,Restaurant,
3264,facilitytype,School,
3318,facilitytype,School,
3808,facilitytype,Restaurant,
3923,facilitytype,Bakery,
3938,facilitytype,Children's Services Facility,
4053,address,8940-8942 S STONY ISLAND AVE,
4243,facilitytype,Daycare Above and Under 2 Years,
4324,facilitytype,Children's Services Facility,
4735,facilitytype,Restaurant,
4813,facilitytype,Children's Services Facility,
4940,facilitytype,Mobile Food Dispenser,
4943,facilitytype,Mobile Food Dispenser,
4944,facilitytype,Mobile Food Dispenser,
5185,facilitytype,Special Event,
5195,dbaname,GOLDEN HEART RESTAURANT,
5263,facilitytype,MOBILE FROZEN DESSERTS VENDOR,
5331,dbaname,GOLDEN HEART RESTAURANT,
5337,dbaname,GOLDEN HEART RESTAURANT,
5381,address,8940-8942 S STONY ISLAND AVE,
5435,facilitytype,Restaurant,
5552,dbaname,SOUTH-EAST ASIA CENTER,
5654,address,522 E 79TH ST,
5707,facilitytype,Restaurant,
5755,dbaname,DOMINOS PIZZA,
6140,dbaname,BELLA'S PIZZA,
6224,facilitytype,Special Event,
6312,dbaname,BELLA'S PIZZA,
6334,dbaname,43RD DAN RYAN CITGO,
6362,dbaname,43RD DAN RYAN CITGO,
6469,facilitytype,Restaurant,
6704,facilitytype,Navy Pier Kiosk,
6790,address,2032-2034 W DEVON AVE,
6882,address,305 E GARFIELD BLVD,
6887,address,305 E GARFIELD BLVD,
6953,facilitytype,Restaurant,
7060,facilitytype,School,
7060,city,Chicago,
7080,facilitytype,School,
7080,facilitytype,School,
7096,address,2032-2034 W DEVON AVE,
7240,facilitytype,Banquet/kitchen,
7249,facilitytype,School,
7249,facilitytype,School,
7420,facilitytype,Banquet/kitchen,
7473,address,305 E GARFIELD BLVD,
7473,address,305 E GARFIELD BLVD,
7496,facilitytype,Banquet/kitchen,
7500,address,305 E GARFIELD BLVD,
8054,address,305 E GARFIELD BLVD,
8611,facilitytype,Mobile Food Dispenser,
8662,facilitytype,Restaurant,
8799,facilitytype,Daycare (2 - 6 Years),
8801,facilitytype,Mobile Food Dispenser,
9004,dbaname,LILLIE'S Q,
9014,dbaname,LILLIE'S Q,
9392,dbaname,LILLIE'S Q,
9609,dbaname,SALERO,
9803,dbaname,AVENIDA DEL SABOR,
9896,facilitytype,Grocery Store,
9942,dbaname,HAIFA CAFE,
10058,dbaname,ENGLEWOOD SATELLITE SENIOR CENTER,
10376,dbaname,THE GODDARD SCHOOL CHICAGO,
10421,dbaname,ASIAN TOWN NOODLES,
10544,dbaname,AURORA CHICAGO LAKESHORE HOSPITAL,
10557,dbaname,AURORA CHICAGO LAKESHORE HOSPITAL,
10621,facilitytype,Mobile Food Dispenser,
10830,dbaname,DAATA DARBAR RESTAURENT,
11786,address,3816 W 63RD ST,
11786,city,chicago,
11861,facilitytype,Grocery Store,
12254,address,100 W RANDOLPH ST STE C-19,
12614,facilitytype,Grocery Store,
13049,facilitytype,Bakery,
15198,address,4531-4535 W MARQUETTE RD,
15336,facilitytype,School,
15874,facilitytype,Restaurant,
15887,address,3501-3505 N HALSTED ST F,L 1
15938,results,Out of Business,
16350,address,2032-2034 W DEVON AVE,
17010,facilitytype,Mobile Food Dispenser,
17046,address,4310-4312 S PRAIRIE AVE,
17697,facilitytype,School,
17728,address,100 W RANDOLPH ST,
17748,address,100 W RANDOLPH ST STE C-19,
18347,address,3246 N CENTRAL AVE,
18352,address,3246 N CENTRAL AVE,
18440,zip,60666,
18869,address,3246 N CENTRAL AVE,
18899,address,3246 N CENTRAL AVE,
19127,facilitytype,CHILDRENS SERVICES FACILITY,
19456,dbaname,LA ESCONDIDA MINI MART & $ PLUS,
19741,results,Out of Business,
19791,results,Out of Business,
20031,results,Out of Business,
20057,results,Out of Business,
20355,results,Out of Business,
20414,results,Out of Business,
20646,results,Out of Business,
20738,results,Out of Business,
20768,results,Out of Business,
20815,results,Out of Business,
20863,results,Out of Business,
20865,results,Out of Business,
21025,results,Out of Business,
21257,results,Out of Business,
21261,results,Out of Business,
21322,results,Out of Business,
21323,results,Out of Business,
21329,results,Out of Business,
21337,results,Out of Business,
21368,results,Out of Business,
21378,facilitytype,School,
21463,results,Out of Business,
21475,results,Out of Business,
21493,results,Out of Business,
21551,results,Out of Business,
21634,results,Out of Business,
21635,address,2706 E 75TH ST,
21635,results,Out of Business,
21639,results,Out of Business,
21679,results,Out of Business,
21685,results,Out of Business,
21762,results,Out of Business,
21766,results,Out of Business,
21771,address,2032-2034 W DEVON AVE,
21804,results,Out of Business,
22048,address,3463-3465 N BROADWAY,
22076,results,Out of Business,
22105,city,Chicago,
22110,facilitytype,School,
22125,results,Out of Business,
22296,results,Out of Business,
22397,results,Out of Business,
22398,results,Out of Business,
22431,results,Out of Business,
23186,state,IL,
23186,state,IL,
23194,state,IL,
23194,state,IL,
23219,state,IL,
23219,state,IL,
23371,state,IL,
23371,state,IL,
23406,state,IL,
23406,state,IL,
23471,state,IL,
23471,state,IL,
23629,state,IL,
23629,state,IL,
23635,state,IL,
23635,state,IL,
23666,state,IL,
23666,state,IL,
23675,state,IL,
23694,state,IL,
23694,state,IL,
23755,state,IL,
23755,state,IL,
23804,state,IL,
23804,state,IL,
23812,state,IL,
23812,state,IL,
23845,state,IL,
23845,state,IL,
23877,state,IL,
23877,state,IL,
23878,state,IL,
23878,state,IL,
23943,state,IL,
23943,state,IL,
24031,state,IL,
24031,state,IL,
24039,state,IL,
24039,state,IL,
24095,state,IL,
24095,state,IL,
24121,state,IL,
24258,state,IL,
24258,state,IL,
24261,state,IL,
24261,state,IL,
24283,state,IL,
24283,state,IL,
24300,state,IL,
24300,state,IL,
24306,state,IL,
24306,state,IL,
24470,state,IL,
24470,state,IL,
24483,state,IL,
24583,state,IL,
24686,state,IL,
24688,state,IL,
24695,state,IL,
24783,results,Out of Business,
24817,results,Out of Business,
24900,results,Out of Business,
24905,results,Out of Business,
24915,results,Out of Business,
24919,state,IL,
24936,state,IL,
24943,facilitytype,Grocery Store,
24943,results,Out of Business,
24986,state,IL,
25003,state,IL,
25032,results,Out of Business,
25092,results,Out of Business,
25154,state,IL,
25173,state,IL,
25201,state,IL,
25267,results,Out of Business,
25279,results,Out of Business,
25337,state,IL,
25349,results,Out of Business,
25569,state,IL,
25577,state,IL,
25648,state,IL,
25697,results,Out of Business,
25722,state,IL,
25742,results,Out of Business,
25773,results,Out of Business,
25804,state,IL,
25807,results,Out of Business,
25837,state,IL,
25848,results,Out of Business,
25919,results,Out of Business,
25940,results,Out of Business,
25954,results,Out of Business,
25987,results,Out of Business,
26277,address,3435 W VAN BUREN,
26301,results,Out of Business,
26483,state,IL,
26565,state,IL,
26588,state,IL,
26595,state,IL,
26614,state,IL,
26761,facilitytype,Navy Pier Kiosk,
26812,state,IL,
26875,state,IL,
26887,state,IL,
26963,state,IL,
26991,state,IL,
27100,state,IL,
27246,state,IL,
27260,state,IL,
27287,state,IL,
27317,state,IL,
27327,state,IL,
27384,state,IL,
27408,state,IL,
27571,state,IL,
27781,state,IL,
27821,state,IL,
27956,state,IL,
28042,address,4900 S CICERO AVE,
28092,state,IL,
28497,state,IL,
28526,state,IL,
28774,state,IL,
28778,state,IL,
28792,state,IL,
28980,state,IL,
28999,state,IL,
29013,state,IL,
29050,state,IL,
29137,state,IL,
29176,dbaname,STARFRUIT CAFE,
29198,state,IL,
29220,address,2838 W NORTH AVE,
29228,dbaname,THE PASTA BOWL COMPANY,
29286,state,IL,
29291,state,IL,
29294,state,IL,
29296,address,2401 W OGDEN AVE,
29296,address,2401 W OGDEN AVE,
29306,address,8940-8942 S STONY ISLAND,AVE
29360,facilitytype,Restaurant,
29592,dbaname,THE PASTA BOWL COMPANY,
29720,state,IL,
29724,state,IL,
29794,address,2401 W OGDEN AVE,
29794,address,2401 W OGDEN AVE,
29893,state,IL,
29919,facilitytype,Restaurant,
30034,state,IL,
30059,dbaname,SNAPPY CONVENIENCE CENTER #5,
30060,dbaname,SNAPPY CONVENIENCE CENTER #5,
30096,state,IL,
30125,state,IL,
30251,state,IL,
30380,state,IL,
30469,state,IL,
30513,state,IL,
30514,state,IL,
30518,dbaname,REGGIO'S PIZZA EXPRESS,
30605,state,IL,
30670,dbaname,THE GREAT AMERICAN BAGEL,
30688,state,IL,
30691,state,IL,
30692,state,IL,
30710,state,IL,
30753,facilitytype,Children's Services Facility,
30770,facilitytype,Liquor,
30819,state,IL,
30821,state,IL,
30856,state,IL,
30996,dbaname,EL ORIGINAL GALLO BRAVO,
31112,state,IL,
31137,state,IL,
31168,state,IL,
31200,state,IL,
31212,city,chicago,
31327,state,IL,
31328,state,IL,
31394,state,IL,
31396,state,IL,
31412,state,IL,
31414,state,IL,
31421,state,IL,
31423,dbaname,EL ORIGINAL GALLO BRAVO,
31434,state,IL,
31487,state,IL,
31516,state,IL,
31548,state,IL,
31840,state,IL,
31854,dbaname,BURGER KING #181,
31891,state,IL,
31999,state,IL,
32028,state,IL,
32030,state,IL,
32069,dbaname,THE GREAT AMERICAN BAGEL,
32206,state,IL,
32362,state,IL,
32373,facilitytype,MOBILE FROZEN DESSERTS VENDOR,
32388,state,IL,
32393,facilitytype,MOBILE DESSERTS VENDOR,
32452,dbaname,BURGER KING #11297,
32505,state,IL,
32538,state,IL,
32559,facilitytype,MOBILE FROZEN DESSERTS VENDOR,
32563,state,IL,
32620,facilitytype,MOBILE FROZEN DESSERTS VENDOR,
32621,state,IL,
32659,state,IL,
32692,dbaname,BURGER KING #11297,
32698,dbaname,BURGER KING #11297,
32804,state,IL,
32821,dbaname,THE PASTA BOWL COMPANY,
32865,state,IL,
32914,state,IL,
32931,results,Out of Business,
32996,state,IL,
33019,state,IL,
33076,results,Out of Business,
33081,address,2838 W NORTH AVE,
33112,results,Out of Business,
33130,results,Out of Business,
33150,results,Out of Business,
33171,state,IL,
33180,results,Out of Business,
33197,dbaname,BURGER KING #11297,
33213,dbaname,BURGER KING #11297,
33269,results,Out of Business,
33278,results,Out of Business,
33284,results,Out of Business,
33294,results,Out of Business,
33297,results,Out of Business,
33304,dbaname,BURGER KING #181,
33341,dbaname,BURGER KING #181,
33343,state,IL,
33361,dbaname,BURGER KING #5818,
33368,dbaname,BURGER KING #5818,
33419,dbaname,THE PASTA BOWL COMPANY,
33494,state,IL,
33538,dbaname,LEONA'S PIZZERIA,
33587,dbaname,LEONA'S PIZZERIA,
33637,state,IL,
33650,state,IL,
33762,state,IL,
33794,dbaname,BEAUDEVIN WINE BAR,
33980,state,IL,
33996,state,IL,
34169,state,IL,
34194,state,IL,
34294,facilitytype,Restaurant,
34295,facilitytype,Restaurant,
34345,state,IL,
34375,state,IL,
34414,state,IL,
34534,state,IL,
34567,state,IL,
34845,state,IL,
34880,state,IL,
34882,state,IL,
35219,state,IL,
35408,state,IL,
35458,state,IL,
35477,state,IL,
35599,state,IL,
35623,state,IL,
35831,state,IL,
35831,zip,60642,
35836,facilitytype,Restaurant,
35855,state,IL,
35855,zip,60642,
35933,state,IL,
35933,zip,60642,
36013,address,100 W RANDOLPH ST STE C-19,
36137,state,IL,
36137,zip,60642,
36314,facilitytype,Restaurant,
36358,state,IL,
36358,zip,60642,
36501,state,IL,
36501,zip,60642,
36526,state,IL,
36526,zip,60642,
36542,address,4503-4505 N KEDZIE AVE,
36545,address,2554-2556 W DIVERSEY AVE,
36554,state,IL,
36554,zip,60642,
36565,state,IL,
36565,zip,60642,
36612,state,IL,
36612,zip,60642,
36655,state,IL,
36655,zip,60642,
36807,state,IL,
36807,zip,60642,
36904,address,3421 N CLARK ST,
36904,address,3421 N CLARK ST,
36936,state,IL,
36936,zip,60642,
36956,state,IL,
36956,zip,60642,
37006,state,IL,
37006,zip,60642,
37407,facilitytype,Restaurant,
37448,state,IL,
37448,zip,60642,
37473,state,IL,
37473,zip,60642,
37477,state,IL,
37477,zip,60642,
37512,facilitytype,Restaurant,
37513,facilitytype,Restaurant,
37697,dbaname,McCORMICK PLACE,
37715,facilitytype,Restaurant,
37752,facilitytype,Restaurant,
37908,state,IL,
37908,zip,60642,
38043,state,IL,
38043,zip,60642,
38044,state,IL,
38044,zip,60642,
38102,state,IL,
38102,zip,60642,
38203,state,IL,
38203,zip,60642,
38332,state,IL,
38332,zip,60642,
38338,state,IL,
38338,zip,60642,
38366,state,IL,
38366,zip,60642,
38407,address,4503-4505 N KEDZIE AVE,
38495,state,IL,
38495,zip,60642,
39042,state,IL,
39042,zip,60642,
39073,state,IL,
39073,zip,60642,
39580,facilitytype,Restaurant,
39581,state,IL,
39581,zip,60642,
40122,address,100 W RANDOLPH ST STE C-19,
40357,state,IL,
40357,zip,60642,
40535,state,IL,
40535,zip,60642,
40582,address,100 W RANDOLPH ST,
40647,state,IL,
40647,zip,60642,
41123,state,IL,
41123,zip,60642,
41303,state,IL,
41303,zip,60642,
41342,state,IL,
41342,zip,60642,
41362,state,IL,
41362,zip,60642,
41451,address,8940-8942 S STONY ISLAND AVE,
41454,address,8940-8942 S STONY ISLAND AVE,
41520,state,IL,
41520,zip,60642,
41627,state,IL,
41627,zip,60642,
41637,state,IL,
41637,zip,60642,
41719,address,2945-2947 N BROADWAY AVE,
41761,facilitytype,Restaurant,
41845,state,IL,
41845,zip,60642,
41894,state,IL,
41894,zip,60642,
41921,state,IL,
41921,zip,60642,
42008,state,IL,
42008,zip,60642,
42013,state,IL,
42013,zip,60642,
42040,state,IL,
42040,zip,60642,
42181,state,IL,
42181,zip,60642,
42213,address,3601 W NORTH AVE BLDG 1STFL.,
42213,address,3601 W NORTH AVE BLDG 1S TFL.,
42312,state,IL,
42312,zip,60642,
42495,state,IL,
42495,zip,60642,
42523,state,IL,
42579,state,IL,
42662,dbaname,DOMINOS PIZZA,
42673,state,IL,
42706,state,IL,
42925,state,IL,
43187,state,IL,
43196,state,IL,
43206,address,3410 MAIN ST,
43206,city,SCHAUMBURG,
43206,zip,60193,
43226,state,IL,
43244,address,5633-5635 N ASHLAND AVE,
43310,address,3601 W NORTH AVE BLDG 1STFL.,
43753,state,IL,
43759,state,IL,
43927,address,131 N CLINTON #30,
43936,address,3463-3465 N BROADWAY,
43989,address,17429 S CENTER ST,
43989,zip,60409,
44178,state,IL,
44184,state,IL,
44454,location,"(41.89795569189251, -87.67696390590685)",
44462,location,"(41.89795569189251, -87.67696390590685)",
44484,location,"(41.744630715329514, -87.60490519818548)",
44512,location,"(41.88199433820508, -87.6397586848809)",
44571,location,"(41.94041749168562, -87.72578648822572)",
44573,address,17429 S CENTER ST,
44573,zip,60409,
44576,location,"(41.94041749168562, -87.72578648822572)",
44582,state,IL,
44610,state,IL,
44719,state,IL,
44730,state,IL,
44741,results,Out of Business,
44855,state,IL,
44885,state,IL,
44966,facilitytype,Restaurant,
45070,state,IL,
45071,state,IL,
45155,state,IL,
45438,facilitytype,Restaurant,
45544,state,IL,
45572,state,IL,
45588,state,IL,
45596,state,IL,
45838,facilitytype,Grocery Store,
45848,location,"(41.884187507127805, -87.64111966683218)",
45899,state,IL,
45953,state,IL,
46003,location,"(41.744630715329514, -87.60490519818548)",
46274,location,"(41.884187507127805, -87.64111966683218)",
46437,state,IL,
46542,state,IL,
46612,address,3313-3319 N BROADWAY,
46616,location,"(41.90376544815293, -87.63307247105263)",
46640,state,IL,
46661,state,IL,
46675,state,IL,
46684,state,IL,
46880,state,IL,
46894,facilitytype,GROCERY& RESTAURANT,
46963,state,IL,
47008,state,IL,
47022,state,IL,
47041,state,IL,
47075,state,IL,
47100,state,IL,
47105,state,IL,
47302,state,IL,
47443,location,"(41.83808910384431, -87.65129460738949)",
47453,state,IL,
47454,location,"(41.94041749168562, -87.72578648822572)",
47509,state,IL,
47510,state,IL,
47517,location,"(41.87216695780119, -87.62957679729978)",
47530,state,IL,
47531,state,IL,
47532,state,IL,
47533,state,IL,
47547,location,"(41.92335589370734, -87.69785017026875)",
47557,state,IL,
47654,location,"(41.87216695780119, -87.62957679729978)",
47681,location,"(41.96851294147588, -87.71305126719813)",
47712,state,IL,
47836,facilitytype,Restaurant,
47854,location,"(41.814554270530905, -87.70372129941862)",
47922,location,"(41.87216695780119, -87.62957679729978)",
47938,state,IL,
47940,state,IL,
47950,state,IL,
47959,facilitytype,Grocery Store,
47965,location,"(41.80824449155079, -87.70316885960831)",
47969,location,"(41.80824449155079, -87.70316885960831)",
47970,state,IL,
47974,state,IL,
48000,state,IL,
48214,state,IL,
48560,state,IL,
48584,state,IL,
48652,state,IL,
48809,state,IL,
48844,state,IL,
48855,facilitytype,Restaurant,
48958,facilitytype,Restaurant,
49033,state,IL,
49120,location,"(41.90943446610412, -87.75239305833514)",
49374,state,IL,
49450,state,IL,
49485,state,IL,
49554,state,IL,
49573,state,IL,
49888,location,"(41.9106455744334, -87.67420058686105)",
49924,state,IL,
49969,state,IL,
50037,state,IL,
50053,state,IL,
50058,state,IL,
50065,city,Chicago,
50065,state,IL,
50068,state,IL,
50140,state,IL,
50147,state,IL,
50157,state,IL,
50187,state,IL,
50282,state,IL,
50318,state,IL,
50326,facilitytype,Grocery Store,
50336,state,IL,
50356,state,IL,
50359,state,IL,
50412,state,IL,
50437,state,IL,
50439,state,IL,
50548,state,IL,
50559,state,IL,
50572,state,IL,
50584,state,IL,
50600,facilitytype,Grocery Store,
50655,state,IL,
50670,state,IL,
50677,state,IL,
50706,state,IL,
50757,state,IL,
50822,state,IL,
50855,state,IL,
50896,state,IL,
50917,results,Out of Business,
50937,state,IL,
50939,state,IL,
50983,state,IL,
51083,state,IL,
51109,state,IL,
51274,state,IL,
51285,state,IL,
51340,state,IL,
51350,state,IL,
51399,state,IL,
51468,state,IL,
51470,state,IL,
51484,state,IL,
51512,state,IL,
51527,state,IL,
51531,state,IL,
51697,state,IL,
51715,state,IL,
51746,dbaname,WRIGLEYVILLE ROOFTOPS,
51753,state,IL,
51825,facilitytype,School,
51888,state,IL,
51919,state,IL,
51925,state,IL,
51926,state,IL,
51945,state,IL,
51980,state,IL,
52008,state,IL,
52020,address,3816 W 63RD ST,
52020,city,chicago,
52029,address,3816 W 63RD ST,
52029,city,chicago,
52040,facilitytype,Restaurant,
52050,state,IL,
52080,state,IL,
52083,state,IL,
52095,state,IL,
52096,state,IL,
52113,state,IL,
52114,state,IL,
52168,state,IL,
52208,state,IL,
52236,state,IL,
52256,address,2637 S THROOP ST,
52261,state,IL,
52281,facilitytype,School,
52290,state,IL,
52352,facilitytype,Daycare Above and Under 2 Years,
52380,state,IL,
52408,state,IL,
52456,state,IL,
52486,state,IL,
52587,state,IL,
52592,state,IL,
52595,state,IL,
52624,state,IL,
52647,state,IL,
52653,state,IL,
52662,city,chicago,
52671,city,chicago,
52704,state,IL,
52735,state,IL,
52813,state,IL,
52817,state,IL,
52823,state,IL,
52865,state,IL,
52876,state,IL,
52905,location,"(41.80945691736228, -87.68474598934672)",
52943,state,IL,
52952,state,IL,
52985,state,IL,
53025,state,IL,
53176,state,IL,
53203,state,IL,
53234,facilitytype,Restaurant,
53429,state,IL,
53475,state,IL,
53524,address,4503-4505 N KEDZIE AVE,
53550,address,420-422 W 31ST ST,
53550,address,420-422 W 31ST ST,
53553,state,IL,
53559,address,420-422 W 31ST ST,
53595,state,IL,
53663,state,IL,
53740,state,IL,
53747,state,IL,
53768,state,IL,
53771,state,IL,
53784,state,IL,
53790,state,IL,
53800,state,IL,
53851,state,IL,
53879,address,420-422 W 31ST ST,
53881,state,IL,
53936,state,IL,
54009,state,IL,
54011,address,420-422 W 31ST ST,
54011,address,420-422 W 31ST ST,
54047,state,IL,
54079,state,IL,
54227,facilitytype,Mobile Food Dispenser,
54245,facilitytype,Bakery,
54275,state,IL,
54400,facilitytype,Bakery,
54450,state,IL,
54457,facilitytype,Grocery Store,
54471,state,IL,
54489,state,IL,
54632,state,IL,
54741,address,3463-3465 N BROADWAY,
54747,address,3463-3465 N BROADWAY,
54908,facilitytype,Grocery Store,
54914,address,3463-3465 N BROADWAY,
54923,address,3463-3465 N BROADWAY,
55014,state,IL,
55120,state,IL,
55147,state,IL,
55165,state,IL,
55188,state,IL,
55197,state,IL,
55204,state,IL,
55229,state,IL,
55270,state,IL,
55358,facilitytype,Restaurant,
55666,state,IL,
55679,state,IL,
55762,state,IL,
