Index,Source,ISBN,Title,Author_list
0,ecampus.com,0201853949,the_art_of_computer_programming@_fascicle_3:_generating_all_combinations_and_partitions,not_available
0,indoo.com,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
1,textbookxdotcom,0201853949,the_'art_of_computer_programming@_fascicle_3_generating_all_combinations_and_partitions,
1,a1books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
2,textbooksnow,0201853949,art_of_computer_programming,knuth
2,paperbackworld.de,0201853949,the_art_of_computer_programming_vol._4@_fascicle_3,donald_ervin_knuth
3,caiman,0201853949,art_of_computer_programming_vo,knuth@_donald_ervin
3,movies_with_a_smile,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_ervin
4,marando.de_versandbuchhandlung,0201853949,generating_all_combinations_and_partitions,donald_e._knuth
4,aha-buch,0201853949,generating_all_combinations_and_partitions,donald_e._knuth
5,versandantiquariat_robert_a._mueller,0201853949,the_art_of_computer_programming_vol._4@_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_ervin
5,morgenstundt_buch_&_kunst,0201853949,art_of_computer_programming@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
6,alphacraze.com,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),knuth@_donald_e.
6,odeon_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),donald_e._knuth
7,powell's_books,0201853949,art_of_computer_prog_fascicle_3_volume_4,knuth@_donald
7,quartermelon,0201853949,art_of_computer_programming_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
8,browns_books,0201853949,the_the,knuth@_donald_e.
8,books_down_under,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,donald_e._knuth_john_fuller
9,books_down_under,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
9,swoop,0201853949,art_of_computer_programming,knuth@_donald_e.
10,thebookcom,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
10,thesaintbookstore,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions_(art_of_computer_programming),knuth@_donald_e.
11,mellon's_books,0201853949,art_of_computer_programming,knuth@_donald_e.
11,thebookcom,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
12,blackwell_online,0201853949,the_art_of_computer_programming,donald_e._knuth
12,stratford_books,0201853949,art_of_computer_programming_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
13,the_book_depository,0201853949,art_of_computer_programming:_v._4,donald_e_knuth
13,englishbookservice.com_gti_gmbh,0201853949,art_of_computer_programming@_the:_generating_all_combinations_and_partitions,knuth@_donald_e.
14,revaluation_books,0201853949,the_art_of_computer_programming@_fascicle_3_generating_all_combinations_and_partitions,knuth@_donald_e.
14,papamedia.com,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3_:_generating_all_combinations_and_partitions_(art_of_computer_programming),donald_e._knuth
15,free_u.s._air_shipping_@_thebookcompany,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
15,bobs_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
16,a1books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinations_and_partitions,knuth@_donald_e.
16,revaluation_books,0201853949,art_of_computer_programming_volume_4_fascicle_3_the:generating_allcombinations_and_partitions,knuth@_donald_e.
17,free_u.s._air_shipping_@_thebookcompany,0201853949,the_art_of_computer_programming_fascicle_3_:_generating_all_combinations_and_partitions_-_v._4,knuth@_donald_e.
17,bobs_books,0201853949,art_of_computer_programming@_volume_4@_fascicle_3@_the:_generating_all_combinations_and_partitions,donald_e._knuth_john_fuller
18,gunars_store,0201853949,art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinatio..,knuth_donald
18,gunter_koppon,0201853949,art_of_computer_programming@_volume_4@_fascicle_3:_generating_all_combinatio..,knuth_donald
19,revaluation_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3_-_generating_all_combinations_and_partitions,donald_e._knuth
19,bobs_books,0201853949,art_of_computer_programming_fascicle_3,knuth@_donald_e.
20,bobs_books,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3:_generating_all,knuth_donald
20,limelight_bookshop,0201853949,art_of_computer_programming:_generating_all_combinations_and_partitions@_vol._3,knuth@_donald_ervin
21,mildredsbooks,0201853949,the_art_of_computer_programming@_volume_4@_fascicle_3_:_generating_all_combinations_and_partitions_(art_of_computer_programming),donald_e._knuth
21,indoo.com,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation,knuth@_donald_e.
22,best_bargain_books,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation_(art_of_computer_programming),donald_e._knuth
22,textbookxdotcom,0321335708,art_of_computer_programming@_fascicle_4@_the:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
23,a1books,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation,knuth@_donald_e.
23,caiman,0321335708,art_of_computer_programming_v0,knuth@_donald_ervin
24,movies_with_a_smile,0321335708,the_art_of_computer_programming:_generating_all_trees--history_of_combinatorial_generation;_volume_4,knuth@_donald_ervin
24,powell's_books,0321335708,art_of_computer_prog_volume_4_fascicle_4,knuth@_donald_e
25,opoe-abe_books,0321335708,art_of_computer_programming@vol.4,knuth
25,paperbackworld.de,0321335708,the_art_of_computer_programming_4._fascicle_4,donald_knuth
26,players_quest,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4_:_generating_all_trees--history_of_combinatorial_generation_(art_of_computer_programming),donald_e._knuth
26,books_down_under,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation,donald_e._knuth
27,books_down_under,0321335708,the_art_of_computer_programming@_fascicle_4:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald
27,marando.de_versandbuchhandlung,0321335708,generating_all_trees,donald_e._knuth
28,aha-buch,0321335708,generating_all_trees,donald_e._knuth
28,thesaintbookstore,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation_(art_of_computer_programming),knuth@_donald_e.
29,versandantiquariat_robert_a._mueller,0321335708,the_art_of_computer_programming_4._fascicle_4_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald
29,morgenstundt_buch_&_kunst,0321335708,art_of_computer_programming@_fascicle_4@_the:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
30,mellon's_books,0321335708,art_of_computer_programming@_fascicle_4,knuth@_donald
30,thebookcom,0321335708,the_art_of_computer_programming@_fascicle_4_:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
31,blackwell_online,0321335708,the_art_of_computer_programming@_fascicle_4,donald_e._knuth
31,the_book_depository,0321335708,art_of_computer_programming@_fascicle_4,donald_knuth
32,revaluation_books,0321335708,the_art_of_computer_programming@_fascicle_4_generating_all_trees_--_history_of_combinatorial_generation,knuth@_donald_e.
32,englishbookservice.com_gti_gmbh,0321335708,art_of_computer_programming@_fascicle_4@_the:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
33,revaluation_books,0321335708,the_art_of_computer_programming_volume_4_fascicle_4:generating_all_trees--history_of_combinatorial_generation,knuth@_donald_e.
33,free_u.s._air_shipping_@_thebookcompany,0321335708,the_art_of_computer_programming@_fascicle_4_:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
34,free_u.s._air_shipping_@_thebookcompany,0321335708,the_art_of_computer_programming@_fascicle_4_:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald_e.
34,gunter_koppon,0321335708,art_of_computer_programming@_fascicle_4:_generating_all_trees_-_history_of_com..,knuth_donald_e
35,gunars_store,0321335708,art_of_computer_programming@_fascicle_4:_generating_all_trees_-_history_of_com..,knuth_donald_e
35,bobs_books,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4:_generating_all_trees--history_of_combinatorial_generation,donald_e._knuth
36,bobs_books,0321335708,the_art_of_computer_programming@_fascicle_4:_generating_all_trees_-_history_of_combinatorial_generation,knuth@_donald
36,bobs_books,0321335708,art_of_computer_programming@_fascicle_4,donald_knuth
37,bobs_books,0321335708,the_art_of_computer_programming@_fascicle_4:_generating_all_trees_-_hist,knuth_donald_e
37,mildredsbooks,0321335708,the_art_of_computer_programming@_volume_4@_fascicle_4_:_generating_all_trees--history_of_combinatorial_generation_(art_of_computer_programming),donald_e._knuth
38,ecampus.com,0201853922,the_art_of_computer_programming@_fascicle_1:_mmix_--_a_risc_computer_for_the_new_millennium,not_available;_knuth@_donald_ervin;_a
38,powell's_books,0201853922,art_of_computer_prog_fascicle_1_volume_1_mmi,knuth@_donald_e
39,indoo.com,0201853922,art_of_computer_programming@_volume_1@_fascicle_1@_the:_mmix_--_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
39,textbookxdotcom,0201853922,the_'art_of_computer_programming@_fascicle_1_mmix_--_a_risc_computer_for_the_new_millennium,
40,a1books,0201853922,the_art_of_computer_programming@_volume_1@_fascicle_1:_mmix_--_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
40,paperbackworld.de,0201853922,the_art_of_computer_programming_vol.1_fascicle_1,donald_ervin_knuth
41,thesaintbookstore,0201853922,the_art_of_computer_programming@_volume_1@_fascicle_1:_mmix_--_a_risc_computer_for_the_new_millennium_(art_of_computer_programming),knuth@_donald_e.
41,caiman,0201853922,art_of_computer_programmin-v01,knuth@_donald_ervin
42,morgenstundt_buch_&_kunst,0201853922,art_of_computer_programming@_the:_mmix@_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
42,versandantiquariat_robert_a._mueller,0201853922,the_art_of_computer_programming_vol.1_fascicle_1_mmix_-_a_risc_computer_for_the_new_millennium,knuth@_donald_ervin
43,marando.de_versandbuchhandlung,0201853922,mmix_-_a_risc_computer_for_the_new_millenium,donald_e._knuth
43,aha-buch,0201853922,mmix_-_a_risc_computer_for_the_new_millenium,donald_e._knuth
44,odeon_books,0201853922,the_art_of_computer_programming@_volume_1@_fascicle_1:_mmix_--_a_risc_computer_for_the_new_millennium_(art_of_computer_programming),donald_e._knuth
44,powell's_books,0201853922,art_of_computer_prog_fascicle_1_volume_1_mmi,knuth@_donald_e
45,books_down_under,0201853922,art_of_computer_programming@_volume_1@_fascicle_1@_the:_mmix_--_a_risc_computer_for_the_new_millennium,donald_e._knuth_john_fuller
45,books_down_under,0201853922,the_art_of_computer_programming@_fascicle_1:_mmix_-_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
46,the_book_depository,0201853922,art_of_computer_programming:_v._1,donald_e_knuth
46,revaluation_books,0201853922,art_of_computer_programming_volume_1_fascicle_1_the:mmix_--_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
47,revaluation_books,0201853922,the_art_of_computer_programming_volume_1_fascicle_1_mmix_a_risc_computer_for_the_new_millennium,donald_e._knuth
47,papamedia.com,0201853922,the_art_of_computer_programming@_volume_1@_fascicle_1_:_mmix_--_a_risc_computer_for_the_new_millennium_(art_of_computer_programming),donald_e._knuth
48,bobs_books,0201853922,art_of_computer_programming@_volume_1@_fascicle_1@_the:_mmix_--_a_risc_computer_for_the_new_millennium,donald_e._knuth_john_fuller
48,ashleyjohnson,0201853922,the_art_of_computer_programming@_volume_1@_fascicle_1_:_mmix_--_a_risc_computer_for_the_new_millennium_(art_of_computer_programming),knuth@_donald_e.
49,bobs_books,0201853922,the_art_of_computer_programming@_fascicle_1:_mmix_-_a_risc_computer_for_the_new_millennium,knuth@_donald_e.
